chemin;dossier;nom_fichier;utilise;produits_associes;nb_utilisations;taille_octets;niveau_confiance
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-06.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-06.webp";"non";"";"0";"234430";"A classer"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-07.webp";"terminal-3/delicatessen/pastrami";"delicatessen-pastrami-07.webp";"non";"";"0";"149956";"A classer"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-01.webp";"terminal-3/delicatessen/sausages";"delicatessen-sausages-01.webp";"non";"";"0";"59352";"A classer"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-02.webp";"terminal-3/delicatessen/sausages";"delicatessen-sausages-02.webp";"non";"";"0";"106882";"A classer"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-03.webp";"terminal-3/delicatessen/sausages";"delicatessen-sausages-03.webp";"non";"";"0";"63842";"A classer"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-04.webp";"terminal-3/delicatessen/sausages";"delicatessen-sausages-04.webp";"non";"";"0";"68992";"A classer"
"/images/terminal-3/fish/anchovies/fish-anchovies-01.webp";"terminal-3/fish/anchovies";"fish-anchovies-01.webp";"non";"";"0";"68674";"A classer"
"/images/terminal-3/fish/anchovies/fish-anchovies-02.webp";"terminal-3/fish/anchovies";"fish-anchovies-02.webp";"non";"";"0";"74382";"A classer"
"/images/terminal-3/fish/fish-01.webp";"terminal-3/fish";"fish-01.webp";"non";"";"0";"88968";"A classer"
"/images/terminal-3/fish/other/fish-other-01.webp";"terminal-3/fish/other";"fish-other-01.webp";"non";"";"0";"104282";"A classer"
"/images/terminal-3/fish/other/fish-other-02.webp";"terminal-3/fish/other";"fish-other-02.webp";"non";"";"0";"86728";"A classer"
"/images/terminal-3/fish/other/fish-other-03.webp";"terminal-3/fish/other";"fish-other-03.webp";"non";"";"0";"54150";"A classer"
"/images/terminal-3/fish/other/fish-other-04.webp";"terminal-3/fish/other";"fish-other-04.webp";"non";"";"0";"102528";"A classer"
"/images/terminal-3/fish/other/fish-other-05.webp";"terminal-3/fish/other";"fish-other-05.webp";"non";"";"0";"54380";"A classer"
"/images/terminal-3/fish/other/fish-other-06.webp";"terminal-3/fish/other";"fish-other-06.webp";"non";"";"0";"75436";"A classer"
"/images/terminal-3/fish/other/fish-other-07.webp";"terminal-3/fish/other";"fish-other-07.webp";"non";"";"0";"65442";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-01.webp";"terminal-3/fish/salmon";"fish-salmon-01.webp";"non";"";"0";"101690";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-02.webp";"terminal-3/fish/salmon";"fish-salmon-02.webp";"non";"";"0";"101690";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-03.webp";"terminal-3/fish/salmon";"fish-salmon-03.webp";"non";"";"0";"97652";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-04.webp";"terminal-3/fish/salmon";"fish-salmon-04.webp";"non";"";"0";"96208";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-05.webp";"terminal-3/fish/salmon";"fish-salmon-05.webp";"non";"";"0";"84198";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-06.webp";"terminal-3/fish/salmon";"fish-salmon-06.webp";"non";"";"0";"88604";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-07.webp";"terminal-3/fish/salmon";"fish-salmon-07.webp";"non";"";"0";"118156";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-08.webp";"terminal-3/fish/salmon";"fish-salmon-08.webp";"non";"";"0";"118156";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-09.webp";"terminal-3/fish/salmon";"fish-salmon-09.webp";"non";"";"0";"126606";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-10.webp";"terminal-3/fish/salmon";"fish-salmon-10.webp";"non";"";"0";"162528";"A classer"
"/images/terminal-3/fish/salmon/fish-salmon-11.webp";"terminal-3/fish/salmon";"fish-salmon-11.webp";"oui";"Saumon fumé d'Écosse tradition 0";"1";"94352";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-12.webp";"terminal-3/fish/salmon";"fish-salmon-12.webp";"oui";"Saumon gravlax sélection 1";"1";"97652";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-13.webp";"terminal-3/fish/salmon";"fish-salmon-13.webp";"oui";"Saumon fumé norvégien artisanal 2";"1";"96208";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-14.webp";"terminal-3/fish/salmon";"fish-salmon-14.webp";"oui";"Truite fumée fumé 3";"1";"84198";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-15.webp";"terminal-3/fish/salmon";"fish-salmon-15.webp";"oui";"Maquereau fumé premium 4";"1";"102528";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-16.webp";"terminal-3/fish/salmon";"fish-salmon-16.webp";"oui";"Hareng fumé maison 5";"1";"88604";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-17.webp";"terminal-3/fish/salmon";"fish-salmon-17.webp";"oui";"Sardine fumée coup de cœur 6";"1";"162528";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-18.webp";"terminal-3/fish/salmon";"fish-salmon-18.webp";"oui";"Filet de saumon tradition 7";"1";"126606";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-19.webp";"terminal-3/fish/salmon";"fish-salmon-19.webp";"oui";"Roses de saumon sélection 8";"1";"94352";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-01.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-01.webp";"oui";"Toast de saumon artisanal 9";"1";"96208";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-02.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-02.webp";"oui";"Saumon fumé d'Écosse fumé 10";"1";"162528";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-03.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-03.webp";"oui";"Saumon gravlax premium 11";"1";"102528";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-04.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-04.webp";"oui";"Saumon fumé norvégien maison 12";"1";"94352";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-05.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-05.webp";"oui";"Truite fumée coup de cœur 13";"1";"88604";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-06.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-06.webp";"oui";"Maquereau fumé tradition 14";"1";"126606";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-07.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-07.webp";"oui";"Hareng fumé sélection 15";"1";"84198";"Certain"
"/images/terminal-3/fish/salmon/fish-salmon-sarfati-08.webp";"terminal-3/fish/salmon";"fish-salmon-sarfati-08.webp";"oui";"Sardine fumée artisanal 16";"1";"97652";"Certain"
"/images/terminal-3/fish/tuna/fish-tuna-01.webp";"terminal-3/fish/tuna";"fish-tuna-01.webp";"non";"";"0";"74284";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-02.webp";"terminal-3/fish/tuna";"fish-tuna-02.webp";"non";"";"0";"69884";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-03.webp";"terminal-3/fish/tuna";"fish-tuna-03.webp";"non";"";"0";"93844";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-04.webp";"terminal-3/fish/tuna";"fish-tuna-04.webp";"non";"";"0";"73392";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-05.webp";"terminal-3/fish/tuna";"fish-tuna-05.webp";"non";"";"0";"58882";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-06.webp";"terminal-3/fish/tuna";"fish-tuna-06.webp";"non";"";"0";"67724";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-07.webp";"terminal-3/fish/tuna";"fish-tuna-07.webp";"non";"";"0";"61160";"A classer"
"/images/terminal-3/fish/tuna/fish-tuna-08.webp";"terminal-3/fish/tuna";"fish-tuna-08.webp";"non";"";"0";"69148";"A classer"
"/images/terminal-3/fish/ventresca/fish-ventresca-01.webp";"terminal-3/fish/ventresca";"fish-ventresca-01.webp";"non";"";"0";"94070";"A classer"
"/images/terminal-3/fish/ventresca/fish-ventresca-02.webp";"terminal-3/fish/ventresca";"fish-ventresca-02.webp";"non";"";"0";"88210";"A classer"
"/images/terminal-3/placeholders/placeholders-01.webp";"terminal-3/placeholders";"placeholders-01.webp";"non";"";"0";"156550";"A classer"
"/images/terminal-3/platters/charcuterie/platter-charcuterie-01.webp";"terminal-3/platters/charcuterie";"platter-charcuterie-01.webp";"oui";"Pâté en croûte sélection 2 | Chorizo fort tradition 8 | Filet mignon coup de cœur 14 | Saucisson sec maison 20 | Jambon Serrano premium 26 | Pâté en croûte fumé 32 | Chorizo fort artisanal 38 | Filet mignon sélection 44 | Plateau végétarien artisanal 1 | Plateau mixte saumon & charcuterie premium 10 | Plateau végétarien coup de cœur 19";"11";"171388";"Certain"
"/images/terminal-3/platters/charcuterie/platter-charcuterie-02.webp";"terminal-3/platters/charcuterie";"platter-charcuterie-02.webp";"oui";"Mousse de foie artisanal 3 | Saucisse sèche sélection 9 | Terrine de campagne tradition 15 | Rosette de Lyon coup de cœur 21 | Jambon fumé maison 27 | Mousse de foie premium 33 | Saucisse sèche fumé 39 | Terrine de campagne artisanal 45 | Plateau saumon prestige maison 11 | Plateau réception 8 personnes tradition 20";"10";"145562";"Certain"
"/images/terminal-3/platters/charcuterie/platter-charcuterie-03.webp";"terminal-3/platters/charcuterie";"platter-charcuterie-03.webp";"oui";"Boudin fumé 4 | Jambon de Parme artisanal 10 | Rillettes sélection 16 | Chorizo doux tradition 22 | Jambon de dinde coup de cœur 28 | Boudin maison 34 | Jambon de Parme premium 40 | Rillettes fumé 46 | Plateau réception 12 personnes premium 3 | Plateau charcuterie tradition coup de cœur 12 | Plateau réception 12 personnes sélection 21";"11";"237086";"Certain"
"/images/terminal-3/platters/mixed/platters-mixed-02.webp";"terminal-3/platters/mixed";"platters-mixed-02.webp";"oui";"Plateau végétarien sélection 7 | Plateau mixte saumon & charcuterie fumé 16";"2";"251898";"Certain"
"/images/terminal-3/spirits/whisky/00214378-8FB5-452E-85CC-013C94F2B50D.PNG";"terminal-3/spirits/whisky";"00214378-8FB5-452E-85CC-013C94F2B50D.PNG";"oui";"Canadian Club Double Wood | Glenlivet Original";"2";"3290812";"Certain"
"/images/terminal-3/spirits/whisky/008910D1-19DA-4E9D-B589-D05E2EE48CDA.PNG";"terminal-3/spirits/whisky";"008910D1-19DA-4E9D-B589-D05E2EE48CDA.PNG";"oui";"Ballantine's | Rouge de Galilée 2029";"2";"3269247";"Certain"
"/images/terminal-3/spirits/whisky/01A5E5C6-92D5-4B38-9066-24326ABBEF3E.PNG";"terminal-3/spirits/whisky";"01A5E5C6-92D5-4B38-9066-24326ABBEF3E.PNG";"oui";"Petit Castel 2028 | Jack Daniel's 18 ans";"2";"2771870";"Certain"
"/images/terminal-3/spirits/whisky/0216C248-EBE4-4501-8D8C-983424AECBC8.PNG";"terminal-3/spirits/whisky";"0216C248-EBE4-4501-8D8C-983424AECBC8.PNG";"oui";"Teacher's Reposado | Jameson";"2";"2611217";"Certain"
"/images/terminal-3/spirits/whisky/02D73CCC-2ADF-4298-AF47-06A94ABF6227.PNG";"terminal-3/spirits/whisky";"02D73CCC-2ADF-4298-AF47-06A94ABF6227.PNG";"oui";"Dewar's Vanilla | Rosé 2032";"2";"3337437";"Certain"
"/images/terminal-3/spirits/whisky/032D6722-04F1-4E8C-BEB6-913E3B0341CC.PNG";"terminal-3/spirits/whisky";"032D6722-04F1-4E8C-BEB6-913E3B0341CC.PNG";"oui";"Merlot 2031 | Remy Martin Blanco";"2";"3432008";"Certain"
"/images/terminal-3/spirits/whisky/045E0455-01F9-4B08-A914-F8CA77936AC4.PNG";"terminal-3/spirits/whisky";"045E0455-01F9-4B08-A914-F8CA77936AC4.PNG";"oui";"Tullamore Dew | Courvoisier Citrus";"2";"2956773";"Certain"
"/images/terminal-3/spirits/whisky/06EE596B-600F-46AB-B4E7-A7F65BFAAC64.PNG";"terminal-3/spirits/whisky";"06EE596B-600F-46AB-B4E7-A7F65BFAAC64.PNG";"oui";"Ararat Elite | Viognier 2035";"2";"2631021";"Certain"
"/images/terminal-3/spirits/whisky/0AD0493E-3635-43A4-B063-5615D9D0AD13.PNG";"terminal-3/spirits/whisky";"0AD0493E-3635-43A4-B063-5615D9D0AD13.PNG";"oui";"Syrah 2034 | Bacardi Coffee";"2";"3202829";"Certain"
"/images/terminal-3/spirits/whisky/0B5C2BCC-9FD1-4B9F-B620-A83774C63CF6.PNG";"terminal-3/spirits/whisky";"0B5C2BCC-9FD1-4B9F-B620-A83774C63CF6.PNG";"oui";"Ketel One V.S.O.P | Mount Gay";"2";"3646367";"Certain"
"/images/terminal-3/spirits/whisky/0BA32B72-9931-45B2-97C4-4BFA3AB4AEA4.PNG";"terminal-3/spirits/whisky";"0BA32B72-9931-45B2-97C4-4BFA3AB4AEA4.PNG";"oui";"Cîroc 7 ans | Petit Castel 2018";"2";"3019593";"Certain"
"/images/terminal-3/spirits/whisky/0CF6C389-B1D2-48E8-AC37-B343896B8BC4.PNG";"terminal-3/spirits/whisky";"0CF6C389-B1D2-48E8-AC37-B343896B8BC4.PNG";"oui";"Rouge de Galilée 2037 | Patrón V.S.O.P";"2";"2112538";"Certain"
"/images/terminal-3/spirits/whisky/0FE2D514-C25E-46C8-8237-12F2AE6886A9.PNG";"terminal-3/spirits/whisky";"0FE2D514-C25E-46C8-8237-12F2AE6886A9.PNG";"oui";"Stolichnaya Original | Jose Cuervo Black";"2";"2962051";"Certain"
"/images/terminal-3/spirits/whisky/11187404-4E17-46A1-A2F8-EFF8808A0994.PNG";"terminal-3/spirits/whisky";"11187404-4E17-46A1-A2F8-EFF8808A0994.PNG";"oui";"Smirnoff Navy Strength | Merlot 2021";"2";"2905213";"Certain"
"/images/terminal-3/spirits/whisky/13F84910-6365-4B15-96A5-3799C041EF3B.PNG";"terminal-3/spirits/whisky";"13F84910-6365-4B15-96A5-3799C041EF3B.PNG";"oui";"Rosé 2020 | Belvedere";"2";"2819539";"Certain"
"/images/terminal-3/spirits/whisky/162CE014-C62A-408C-AF3F-711BD4E5D7A2.PNG";"terminal-3/spirits/whisky";"162CE014-C62A-408C-AF3F-711BD4E5D7A2.PNG";"oui";"Kahlúa Anisé | Absolut London Dry";"2";"2821358";"Certain"
"/images/terminal-3/spirits/whisky/189C477C-FCB7-4C4D-9ED7-FA6E100B51AA.PNG";"terminal-3/spirits/whisky";"189C477C-FCB7-4C4D-9ED7-FA6E100B51AA.PNG";"oui";"Amarula | Syrah 2024";"2";"3335389";"Certain"
"/images/terminal-3/spirits/whisky/189D6506-2FAB-4091-8442-67603A0794E7.PNG";"terminal-3/spirits/whisky";"189D6506-2FAB-4091-8442-67603A0794E7.PNG";"oui";"Viognier 2023 | Tanqueray Gold";"2";"2973865";"Certain"
"/images/terminal-3/spirits/whisky/19816E7C-9BD9-4FF6-AF62-4476A85BA298.PNG";"terminal-3/spirits/whisky";"19816E7C-9BD9-4FF6-AF62-4476A85BA298.PNG";"oui";"Grand Marnier 12 ans | Hendrick's Double Wood";"2";"3242923";"Certain"
"/images/terminal-3/spirits/whisky/1A00FB52-B489-47EE-8D19-93CFA8A82563.PNG";"terminal-3/spirits/whisky";"1A00FB52-B489-47EE-8D19-93CFA8A82563.PNG";"oui";"Campari Añejo | Rouge de Galilée 2027";"2";"3021872";"Certain"
"/images/terminal-3/spirits/whisky/1AF6FD35-54F9-4B6F-8347-DFE09D5E1347.PNG";"terminal-3/spirits/whisky";"1AF6FD35-54F9-4B6F-8347-DFE09D5E1347.PNG";"oui";"Petit Castel 2026 | Talisker";"2";"3282639";"Certain"
"/images/terminal-3/spirits/whisky/1C2245A8-3B8D-4BB1-A708-F031112DC9E2.PNG";"terminal-3/spirits/whisky";"1C2245A8-3B8D-4BB1-A708-F031112DC9E2.PNG";"oui";"Ricard | Lagavulin Reposado";"2";"3328965";"Certain"
"/images/terminal-3/spirits/whisky/1C27ACDC-F18A-4156-A7C4-1460BB3B3FAA.PNG";"terminal-3/spirits/whisky";"1C27ACDC-F18A-4156-A7C4-1460BB3B3FAA.PNG";"oui";"Pernod Original | Rosé 2030";"2";"3005311";"Certain"
"/images/terminal-3/spirits/whisky/1C450DC7-98DC-4809-A89E-C51B15C49E46.PNG";"terminal-3/spirits/whisky";"1C450DC7-98DC-4809-A89E-C51B15C49E46.PNG";"oui";"Merlot 2029 | Ardbeg Mediterranean";"2";"3343989";"Certain"
"/images/terminal-3/spirits/whisky/1F24D28C-50A5-44CB-AD98-09F8605C7FEC.PNG";"terminal-3/spirits/whisky";"1F24D28C-50A5-44CB-AD98-09F8605C7FEC.PNG";"oui";"Arak Elite 12 ans | Yamazaki";"2";"2897089";"Certain"
"/images/terminal-3/spirits/whisky/1F842163-3DA9-4BA9-8D27-62B92B623F4A.PNG";"terminal-3/spirits/whisky";"1F842163-3DA9-4BA9-8D27-62B92B623F4A.PNG";"oui";"Askalon | Viognier 2033";"2";"3464044";"Certain"
"/images/terminal-3/spirits/whisky/20008C8B-579A-40D2-83AB-C6C8101B1EDC.PNG";"terminal-3/spirits/whisky";"20008C8B-579A-40D2-83AB-C6C8101B1EDC.PNG";"oui";"Syrah 2032 | Nikka Distiller's Edition";"2";"3126153";"Certain"
"/images/terminal-3/spirits/whisky/22B16518-4E9E-4C0D-8B00-25643BC80464.PNG";"terminal-3/spirits/whisky";"22B16518-4E9E-4C0D-8B00-25643BC80464.PNG";"oui";"Jägermeister Blanco | Crown Royal";"2";"3278282";"Certain"
"/images/terminal-3/spirits/whisky/26C24598-77B0-41E0-A70A-6D8C7D4DA96E.PNG";"terminal-3/spirits/whisky";"26C24598-77B0-41E0-A70A-6D8C7D4DA96E.PNG";"oui";"Chivas Regal Citrus | Petit Castel 2036";"2";"3134393";"Certain"
"/images/terminal-3/spirits/whisky/27788521-6BBB-4116-A76A-F5BBAAB30795.PNG";"terminal-3/spirits/whisky";"27788521-6BBB-4116-A76A-F5BBAAB30795.PNG";"oui";"Rouge de Galilée 2035 | Ballantine's";"2";"2951914";"Certain"
"/images/terminal-3/spirits/whisky/27B402D3-6999-4F4C-9932-79F7BE56D255.PNG";"terminal-3/spirits/whisky";"27B402D3-6999-4F4C-9932-79F7BE56D255.PNG";"oui";"Glenlivet Coffee | Famous Grouse Original";"2";"2132943";"Certain"
"/images/terminal-3/spirits/whisky/287E003F-9118-4332-B5CF-C63DA4A6DE8A.PNG";"terminal-3/spirits/whisky";"287E003F-9118-4332-B5CF-C63DA4A6DE8A.PNG";"oui";"Johnnie Walker | Merlot 2019";"2";"3054382";"Certain"
"/images/terminal-3/spirits/whisky/29678DC5-B774-45F4-A4D7-3E421C71DC4D.PNG";"terminal-3/spirits/whisky";"29678DC5-B774-45F4-A4D7-3E421C71DC4D.PNG";"oui";"Rosé 2018 | Dewar's Orange";"2";"2998841";"Certain"
"/images/terminal-3/spirits/whisky/2ABCD09A-27EC-40AB-89F6-F5ACFDCE40B1.PNG";"terminal-3/spirits/whisky";"2ABCD09A-27EC-40AB-89F6-F5ACFDCE40B1.PNG";"oui";"Jameson V.S.O.P | Bushmills Anisé";"2";"2789210";"Certain"
"/images/terminal-3/spirits/whisky/2B055468-CF51-45B8-9E17-988239EA8AC2.PNG";"terminal-3/spirits/whisky";"2B055468-CF51-45B8-9E17-988239EA8AC2.PNG";"oui";"Hennessy Blanc | Syrah 2022";"2";"3604597";"Certain"
"/images/terminal-3/spirits/whisky/2B4D298F-8878-42F2-88DB-6903277515CE.PNG";"terminal-3/spirits/whisky";"2B4D298F-8878-42F2-88DB-6903277515CE.PNG";"oui";"Viognier 2021 | Ararat V.S.O.P";"2";"3254495";"Certain"
"/images/terminal-3/spirits/whisky/2C0F3DAF-A217-43A7-B97F-0549DBDB0957.PNG";"terminal-3/spirits/whisky";"2C0F3DAF-A217-43A7-B97F-0549DBDB0957.PNG";"oui";"Courvoisier | Khvanchkara 12 ans";"2";"3270421";"Certain"
"/images/terminal-3/spirits/whisky/2DEDFB66-21FE-43A9-B52C-7D05138CC490.PNG";"terminal-3/spirits/whisky";"2DEDFB66-21FE-43A9-B52C-7D05138CC490.PNG";"oui";"Havana Club London Dry | Rouge de Galilée 2025";"2";"3051797";"Certain"
"/images/terminal-3/spirits/whisky/2F699C34-9F32-4727-BA58-0A5242A53131.PNG";"terminal-3/spirits/whisky";"2F699C34-9F32-4727-BA58-0A5242A53131.PNG";"oui";"Petit Castel 2024 | Cîroc Berry";"2";"2938406";"Certain"
"/images/terminal-3/spirits/whisky/314198A4-0C3A-4572-A8B1-1D830FA3DC84.PNG";"terminal-3/spirits/whisky";"314198A4-0C3A-4572-A8B1-1D830FA3DC84.PNG";"oui";"Mount Gay Gold | Beluga";"2";"2981387";"Certain"
"/images/terminal-3/spirits/whisky/36F8E306-D187-49CF-97E1-B2EF8D8BCF2A.PNG";"terminal-3/spirits/whisky";"36F8E306-D187-49CF-97E1-B2EF8D8BCF2A.PNG";"oui";"Don Julio 18 ans | Rosé 2028";"2";"3316163";"Certain"
"/images/terminal-3/spirits/whisky/3B610CB6-E859-429E-87B1-6DD707A2B709.PNG";"terminal-3/spirits/whisky";"3B610CB6-E859-429E-87B1-6DD707A2B709.PNG";"oui";"Merlot 2027 | Smirnoff Classic";"2";"3082193";"Certain"
"/images/terminal-3/spirits/whisky/3C338160-3FA4-4022-BBBD-9A16D6D23CA7.PNG";"terminal-3/spirits/whisky";"3C338160-3FA4-4022-BBBD-9A16D6D23CA7.PNG";"oui";"Jose Cuervo Épice | Baileys 12 ans";"2";"3333106";"Certain"
"/images/terminal-3/spirits/whisky/41F1221A-26BE-4C52-868F-9F3C9A806FA2.PNG";"terminal-3/spirits/whisky";"41F1221A-26BE-4C52-868F-9F3C9A806FA2.PNG";"oui";"Grey Goose Reposado | Viognier 2031";"2";"2922927";"Certain"
"/images/terminal-3/spirits/whisky/42AECD0F-5F90-4AB0-81C7-B34D327C441B.PNG";"terminal-3/spirits/whisky";"42AECD0F-5F90-4AB0-81C7-B34D327C441B.PNG";"oui";"Syrah 2030 | Amarula 15 ans";"2";"3020426";"Certain"
"/images/terminal-3/spirits/whisky/42C382EA-5C07-44B8-933B-A57260FF88AD.PNG";"terminal-3/spirits/whisky";"42C382EA-5C07-44B8-933B-A57260FF88AD.PNG";"oui";"Absolut Mediterranean | Cointreau Blanco";"2";"2101713";"Certain"
"/images/terminal-3/spirits/whisky/431557ED-F03B-41D1-9721-5AAE50548404.PNG";"terminal-3/spirits/whisky";"431557ED-F03B-41D1-9721-5AAE50548404.PNG";"oui";"Bombay Sapphire | Petit Castel 2034";"2";"3120076";"Certain"
"/images/terminal-3/spirits/whisky/438BF962-D488-41DD-8A58-676AA5563353.PNG";"terminal-3/spirits/whisky";"438BF962-D488-41DD-8A58-676AA5563353.PNG";"oui";"Rouge de Galilée 2033 | Campari Floral";"2";"2281036";"Certain"
"/images/terminal-3/spirits/whisky/49294A9B-7CA6-4362-9456-5734D54F983E.PNG";"terminal-3/spirits/whisky";"49294A9B-7CA6-4362-9456-5734D54F983E.PNG";"oui";"Hendrick's Reserve | Aperol Coffee";"2";"3339485";"Certain"
"/images/terminal-3/spirits/whisky/49B9D3B1-426C-425B-897B-2BB6EA53A424.PNG";"terminal-3/spirits/whisky";"49B9D3B1-426C-425B-897B-2BB6EA53A424.PNG";"oui";"Macallan | Merlot 2037";"2";"3599246";"Certain"
