chemin;fichier;type_image;produit_propose;marque_proposee;categorie_proposee;sous_categorie_proposee;niveau_confiance;produit_existant;nouveau_produit_necessaire;action
"/images/terminal-3/couvertures/store.webp";"store.webp";"couverture";"store";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/couvertures/vins.webp";"vins.webp";"couverture";"vins";"";"Couverture";"Site";"Générique / couverture";"";"Non";"Utiliser en CMS"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-01.webp";"delicatessen-pastrami-01.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-02.webp";"delicatessen-pastrami-02.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-03.webp";"delicatessen-pastrami-03.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-04.webp";"delicatessen-pastrami-04.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-05.webp";"delicatessen-pastrami-05.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-06.webp";"delicatessen-pastrami-06.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/pastrami/delicatessen-pastrami-07.webp";"delicatessen-pastrami-07.webp";"produit";"delicatessen pastrami";"";"Charcuteries";"Pastrami";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-01.webp";"delicatessen-sausages-01.webp";"produit";"delicatessen sausages";"";"Charcuteries";"Saucisson";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-02.webp";"delicatessen-sausages-02.webp";"produit";"delicatessen sausages";"";"Charcuteries";"Saucisson";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-03.webp";"delicatessen-sausages-03.webp";"produit";"delicatessen sausages";"";"Charcuteries";"Saucisson";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/delicatessen/sausages/delicatessen-sausages-04.webp";"delicatessen-sausages-04.webp";"produit";"delicatessen sausages";"";"Charcuteries";"Saucisson";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/anchovies/fish-anchovies-01.webp";"fish-anchovies-01.webp";"produit";"fish anchovies";"";"Poissons";"Anchois";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/anchovies/fish-anchovies-02.webp";"fish-anchovies-02.webp";"produit";"fish anchovies";"";"Poissons";"Anchois";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/fish-01.webp";"fish-01.webp";"produit";"fish";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-01.webp";"fish-other-01.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-02.webp";"fish-other-02.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-03.webp";"fish-other-03.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-04.webp";"fish-other-04.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-05.webp";"fish-other-05.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-06.webp";"fish-other-06.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/other/fish-other-07.webp";"fish-other-07.webp";"produit";"fish other";"";"Poissons";"Autres poissons";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-01.webp";"fish-salmon-01.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-02.webp";"fish-salmon-02.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-03.webp";"fish-salmon-03.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-04.webp";"fish-salmon-04.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-05.webp";"fish-salmon-05.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-06.webp";"fish-salmon-06.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-07.webp";"fish-salmon-07.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-08.webp";"fish-salmon-08.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-09.webp";"fish-salmon-09.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/salmon/fish-salmon-10.webp";"fish-salmon-10.webp";"produit";"fish salmon";"";"Poissons";"Saumon fumé";"Produit probablement identifiable";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-01.webp";"fish-tuna-01.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-02.webp";"fish-tuna-02.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-03.webp";"fish-tuna-03.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-04.webp";"fish-tuna-04.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-05.webp";"fish-tuna-05.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-06.webp";"fish-tuna-06.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-07.webp";"fish-tuna-07.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/tuna/fish-tuna-08.webp";"fish-tuna-08.webp";"produit";"fish tuna";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/ventresca/fish-ventresca-01.webp";"fish-ventresca-01.webp";"produit";"fish ventresca";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/fish/ventresca/fish-ventresca-02.webp";"fish-ventresca-02.webp";"produit";"fish ventresca";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/placeholders/placeholders-01.webp";"placeholders-01.webp";"produit";"placeholders";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/terminal-3/store/ChatGPT_Image_15_août_2026_02_54_35.png";"ChatGPT_Image_15_août_2026_02_54_35.png";"generique";"ChatGPT_Image_15_août_2026_02_54_";"";"";"";"Impossible à identifier";"";"Non";"Utiliser en CMS"
"/images/vins/vin-1.jpg";"vin-1.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-2.jpg";"vin-2.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-3.jpg";"vin-3.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-4.jpg";"vin-4.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-5.jpg";"vin-5.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-6.jpg";"vin-6.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-7.jpg";"vin-7.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
"/images/vins/vin-8.jpg";"vin-8.jpg";"produit";"vin";"";"";"";"Impossible à identifier";"";"Oui";"Créer si confirmé"
